Year,Economic Freedom Summary Index,1  Size of Government,2  Legal System & Property Rights,3  Sound Money,4  Freedom to trade internationally,5  Regulation
2020,"4,87","6,48","4,80","4,52","3,09","5,49"
2019,"5,44","6,55","4,80","3,88","5,98","5,99"
2018,"5,89","6,38","4,82","4,92","7,48","5,83"
2017,"5,93","6,16","4,74","6,49","6,31","5,95"
2016,"5,62","6,05","4,70","5,63","6,17","5,56"
2015,"5,26","6,05","4,51","6,60","3,38","5,77"
2014,"4,73","5,73","4,38","4,83","3,14","5,59"
2013,"5,11","5,97","4,33","6,27","3,28","5,73"
2012,"5,29","6,15","4,36","6,61","3,38","5,93"
2011,"5,79","6,35","4,43","6,96","5,52","5,70"
2010,"5,80","6,59","4,49","6,65","5,89","5,39"
2009,"6,01","6,41","4,61","7,07","6,18","5,80"
2008,"6,22","7,00","4,58","6,99","6,54","5,97"
2007,"6,31","7,13","4,53","7,31","6,52","6,07"
2006,"6,15","7,29","4,54","6,47","6,42","6,03"
2005,"6,22","7,52","4,62","6,30","6,28","6,39"
2004,"6,39","7,99","4,52","6,91","6,29","6,26"
2003,"6,25","8,04","4,06","6,48","6,51","6,14"
2002,"6,32","7,88","4,17","7,27","6,30","5,96"
2001,"6,80","8,11","4,33","9,68","6,38","5,53"
2000,"7,21","7,98","4,68","9,60","7,40","6,38"
1995,"6,92","8,37","4,84","6,31","8,51","6,56"
1990,"4,41","7,01","4,29","2,50","4,67","3,58"
1985,"3,49","5,76","3,28","2,50","1,97","3,95"
1980,"4,43","6,66","3,58","2,50","5,31","4,09"
1975,"3,61","6,17","3,67","2,50","0,57","5,14"
1970,"5,98","7,04","3,82","7,75",,"5,31"
