Date,Open,High,Low,Close,Adj Close,Volume,,Variation %,SD,,Year,Return,Risk,,Year,EFW_Index,GovSize,LegalSystem,SoundMoney,TradeFreedom,Regulation,Return,Risk
,,,,,,0,,,,,2000,"0,07841103246","0,330469782",,2000,"5,77","6,66","4,67","6,09","5,54","5,54","0,07841103246","0,330469782"
2000-01-01,17.098.000.000,18.099.000.000,15.350.000.000,16.388.000.000,16.388.000.000,0,,,"0,07227675169",,2001,"-0,2802014372","0,3200405201",,2001,"5,74","6,66","4,58","6,25","5,12","5,12","-0,2802014372","0,3200405201"
2000-02-01,16.389.000.000,18.886.000.000,16.389.000.000,17.660.000.000,17.660.000.000,0,,"0,0776177691",,,2002,"-0,1399261064","0,3349657169",,2002,"6,31","7,16","5,32","7,4","5,03","5,03","-0,1399261064","0,3349657169"
2000-03-01,17.668.000.000,19.047.000.000,16.922.000.000,17.820.000.000,17.820.000.000,0,,"0,00906002265",,,2003,"0,997166621","0,2236815724",,2003,"6,09","7,03","5,28","6,97","4,64","4,64","0,997166621","0,2236815724"
2000-04-01,17.826.000.000,17.826.000.000,14.029.000.000,15.538.000.000,15.538.000.000,0,,"-0,1280583614",,,2004,"0,1144112398","0,1884117429",,2004,"6,24","6,98","5,15","7,5","4,9","3,1","0,1144112398","0,1884117429"
2000-05-01,15.596.000.000,15.944.000.000,13.556.000.000,14.957.000.000,14.957.000.000,0,,"-0,03739219977",,,2005,"0,5762391688","0,2640749669",,2005,"6,44","7,26","5,53","7,7","4,68","4,68","0,5762391688","0,2640749669"
2000-06-01,14.967.000.000,17.396.000.000,14.967.000.000,16.728.000.000,16.728.000.000,0,,"0,1184060975",,,2006,"0,1630669828","0,1981619412",,2006,"6,4","7,04","5,46","7,62","4,55","4,55","0,1630669828","0,1981619412"
2000-07-01,16.747.000.000,17.795.000.000,16.390.000.000,16.455.000.000,16.455.000.000,0,,"-0,01631994261",,,2007,"0,332601586","0,166148531",,2007,"6,42","7,06","5,55","7,6","4,77","4,77","0,332601586","0,166148531"
2000-08-01,16.475.000.000,17.926.000.000,16.073.000.000,17.347.000.000,17.347.000.000,0,,"0,05420844728",,,2008,"-0,339367961","0,324739719",,2008,"6,5","7,31","5,68","7,69","4,79","4,79","-0,339367961","0,324739719"
2000-09-01,17.360.000.000,17.716.000.000,15.657.000.000,15.928.000.000,15.928.000.000,0,,"-0,08180088776",,,2009,"0,6641306837","0,2061005175",,2009,"6,51","7,26","5,78","7,77","4,78","4,78","0,6641306837","0,2061005175"
2000-10-01,15.950.000.000,16.404.000.000,13.571.000.000,14.867.000.000,14.867.000.000,0,,"-0,06661225515",,,2010,"0,01793523134","0,1720676556",,2010,"6,68","7,47","5,85","7,79","5,25","5,25","0,01793523134","0,1720676556"
