Year,Economic Freedom Summary Index,1  Size of Government,2  Legal System & Property Rights,3  Sound Money,4  Freedom to trade internationally,5  Regulation
2020,"6,27","4,97","5,12","8,44","6,56","6,24"
2019,"6,33","5,02","5,15","8,41","6,71","6,33"
2018,"6,33","5,03","5,17","8,42","6,59","6,42"
2017,"6,26","5,00","5,17","8,43","6,52","6,16"
2016,"6,25","5,04","5,20","8,43","6,36","6,23"
2015,"6,23","5,14","5,25","8,25","6,29","6,22"
2014,"6,21","5,09","5,13","8,20","6,38","6,24"
2013,"6,16","5,01","5,14","8,07","6,33","6,27"
2012,"6,11","4,98","5,22","7,92","6,30","6,14"
2011,"6,04","4,90","5,28","7,78","6,22","6,04"
2010,"6,02","4,58","5,39","7,89","6,29","5,95"
2009,"6,04","4,47","5,45","7,99","6,31","5,98"
2008,"5,98","4,57","5,50","7,98","6,30","5,55"
2007,"6,00","4,55","5,45","8,03","6,29","5,66"
2006,"5,88","4,41","5,18","8,12","6,24","5,43"
2005,"5,81","4,47","5,02","8,17","6,22","5,20"
2004,"5,63","4,38","4,87","8,08","6,23","4,61"
2003,"5,79","4,53","4,96","8,29","6,22","4,96"
2002,"5,75","4,51","4,83","8,34","6,24","4,81"
2001,"5,58","3,60","4,83","8,37","6,44","4,65"
2000,"5,51","3,59","4,61","8,24","6,12","4,98"
1995,"4,84","4,19","4,80","5,48","5,12","4,64"
1990,"3,65","3,72","4,62","6,45","1,89","1,58"
1985,"4,38","3,91","4,49","6,08","4,12","3,32"
1980,"4,25","4,16","4,79","6,24","2,72","3,32"
1975,,,"4,92","6,56",,"3,22"
1970,,,"4,35","5,82",,"3,22"
