Year,ISO Code,Countries,Rank,Quartile,EFW,GovSize,LegalSystem,SoundMoney,TradeFreedom,Regulation,PIB/capita,Return,Risk,FDI,Unemployment. total (% of total labor force) (modeled ILO estimate),CPI,STT,PoliticalStab,MCC,LDC
2000,ARG,Argentina,37,2,7.21,7.98,4.68,9.60,7.40,6.38,7.666.52,-0.28,0.29,3.7,15,35,20,0.1,16.1,122
2001,ARG,Argentina,58,2,6.8,8.11,4.33,9.68,6.38,5.53,7.168.98,-0.30,0.49,0.8,17.32,35,20,0.1,12.4,116
2002,ARG,Argentina,78,3,6.32,7.88,4.17,7.27,6.30,5.96,2.579.49,0.53,0.44,2.2,19.59,28,7.1,-0.78,17,110
2003,ARG,Argentina,84,3,6.25,8.04,4.06,6.48,6.51,6.14,3.333.15,0.71,0.29,1.3,15.36,25,8.4,-0.36,27.4,106
2004,ARG,Argentina,78,3,6.39,7.99,4.52,6.91,6.29,6.26,4.258.16,0.25,0.33,2.5,13.52,25,11.2,-0.61,24.7,103
2005,ARG,Argentina,98,3,6.22,7.52,4.62,6.30,6.28,6.39,5.086.63,0.13,0.25,2.6,11.51,28,11,-0.04,23.9,100
2006,ARG,Argentina,106,3,6.15,7.29,4.54,6.47,6.42,6.03,5.890.98,0.29,0.22,2.4,10.08,29,6.6,0,22,101
2007,ARG,Argentina,101,3,6.31,7.13,4.53,7.31,6.52,6.07,7.210.60,0.03,0.22,2.3,8.47,29,8.5,0.1,19.8,106
2008,ARG,Argentina,104,3,6.22,7.00,4.58,6.99,6.54,5.97,8.977.51,-0.69,0.44,2.7,7.84,29,8.4,0.09,11,107
2009,ARG,Argentina,112,4,6.01,6.41,4.61,7.07,6.18,5.80,8.184.39,0.78,0.35,1.2,8.65,29,3.3,-0.23,13.7,101
2010,ARG,Argentina,132,4,5.8,6.59,4.49,6.65,5.89,5.39,10.385.96,0.40,0.24,2.7,7.71,29,4,-0.08,15.1,101
2011,ARG,Argentina,133,4,5.79,6.35,4.43,6.96,5.52,5.70,12.848.74,-0.36,0.30,2,7.18,30,5.6,0.16,8.2,99
2012,ARG,Argentina,143,4,5.29,6.15,4.36,6.61,3.38,5.93,13.082.66,0.15,0.25,2.8,7.22,35,4.3,0.1,6.3,101
2013,ARG,Argentina,150,4,5.11,5.97,4.33,6.27,3.28,5.73,13.080.25,0.64,0.30,1.8,7.1,34,4.2,0.07,9.6,97
2014,ARG,Argentina,157,4,4.73,5.73,4.38,4.83,3.14,5.59,12.334.80,0.46,0.43,1,7.27,34,5.9,-0.01,11.4,95
2015,ARG,Argentina,150,4,5.26,6.05,4.51,6.60,3.38,5.77,13.789.06,0.31,0.37,2,7.524,32,4.8,0.01,9.4,93
2016,ARG,Argentina,148,4,5.62,6.05,4.70,5.63,6.17,5.56,12.790.26,0.40,0.29,0.6,8.109,36,5.3,0.2,11.4,93
2017,ARG,Argentina,136,4,5.93,6.16,4.74,6.49,6.31,5.95,14.613.04,0.54,0.19,1.8,8.35,39,5.4,0.17,16.9,96
2018,ARG,Argentina,136,4,5.89,6.38,4.82,4.92,7.48,5.83,11.795.16,0.02,0.39,2.2,9.22,40,9.9,0.01,8.8,93
2019,ARG,Argentina,154,4,5.44,6.55,4.80,3.88,5.98,5.99,9.963.67,0.31,0.64,1.5,9.84,45,7.6,-0.09,8.8,91
2020,ARG,Argentina,161,4,4.87,6.48,4.80,4.52,3.09,5.49,8.496.43,0.21,0.53,1.2,11.46,42,,-0.08,,
2000,BRA,Brazil,97,4,5.77,6.66,4.67,6.09,5.89,5.54,3.726.81,-0.11,0.33,5,10.53,39,41.6,0.18,34.5,457
2001,BRA,Brazil,98,4,5.74,6.66,4.58,6.25,6.12,5.12,3.142.24,-0.11,0.33,4.1,10.65,40,34.6,0.18,33.3,426
2002,BRA,Brazil,79,3,6.31,7.16,5.32,7.40,6.67,5.03,2.824.72,-0.18,0.33,3.3,10.64,40,31.1,0.33,24.9,396
2003,BRA,Brazil,92,3,6.09,7.03,5.28,6.97,6.54,4.64,3.056.65,0.67,0.24,1.8,11.17,39,30,0,42,367
2004,BRA,Brazil,87,3,6.24,6.98,5.15,7.50,6.66,4.90,3.623.22,0.15,0.28,2.7,10.07,39,34.4,-0.28,49.4,357
2005,BRA,Brazil,92,3,6.44,7.26,5.53,7.70,7.03,4.68,4.773.27,0.25,0.25,1.7,10.55,37,36,-0.26,53.2,342
2006,BRA,Brazil,94,3,6.4,7.04,5.46,7.62,7.33,4.55,5.866.02,0.28,0.24,1.8,9.69,33,39.3,-0.29,64.1,347
2007,BRA,Brazil,93,3,6.42,7.06,5.55,7.60,7.13,4.77,7.323.19,0.36,0.27,3.2,9.28,35,47.1,-0.36,98,395
2008,BRA,Brazil,92,3,6.5,7.31,5.68,7.69,7.05,4.79,8.801.76,-0.53,0.51,3,8.27,35,96.3,-0.31,34.9,383
2009,BRA,Brazil,93,3,6.51,7.26,5.78,7.77,6.97,4.78,8.569.90,0.60,0.31,1.9,9.42,37,52.9,0.16,80.2,377
2010,BRA,Brazil,90,3,6.68,7.47,5.85,7.79,7.04,5.25,11.249.29,0.01,0.20,3.7,8.034,37,58.8,0.01,70,373
2011,BRA,Brazil,94,3,6.66,7.48,5.97,7.78,6.96,5.12,13.200.56,-0.20,0.24,3.9,7.58,37,67.1,-0.13,47,366
2012,BRA,Brazil,94,3,6.66,7.33,5.91,7.92,6.94,5.18,12.327.52,0.07,0.22,3.8,7.25,43,67.8,0.05,49.8,353
2013,BRA,Brazil,103,3,6.52,6.99,5.65,7.94,6.90,5.13,12.258.56,-0.17,0.20,3,07.07,42,72.5,-0.26,41.3,352
2014,BRA,Brazil,109,3,6.43,6.90,5.58,7.94,6.75,4.97,12.071.40,-0.03,0.25,3.6,6.76,43,76.3,-0.07,34.4,351
2015,BRA,Brazil,118,3,6.25,6.80,5.50,7.82,6.61,4.50,8.783.21,-0.14,0.23,3.6,8.56,38,85.6,-0.33,27.2,345
2016,BRA,Brazil,112,3,6.44,6.69,5.48,9.04,6.73,4.28,8.680.74,0.33,0.26,4.1,11.74,40,73.6,-0.38,42.2,338
2017,BRA,Brazil,100,3,6.65,6.76,5.37,9.27,6.96,4.88,9.896.72,0.24,0.19,3.3,12.93,37,67,-0.47,46.3,335
2018,BRA,Brazil,104,3,6.58,6.74,5.19,9.27,6.96,4.76,9.121.02,0.14,0.22,4.1,12.46,35,83.9,-0.44,47.8,334
2019,BRA,Brazil,106,3,6.60,6.83,5.11,9.26,6.99,4.81,8.845.32,0.28,0.18,3.7,12.05,35,87.5,-0.71,63.4,324
2020,BRA,Brazil,114,3,6.33,6.61,5.16,9.25,6.17,4.46,6.923.70,0.03,0.45,2.6,13.93,38,,-0.43,67,345
2000,CHL,Chile,30,1,7.45,7.34,6.23,9.11,7.18,7.39,5.097.11,-0.04,0.16,6.2,10.49,74,9.5,0.49,77.2,260
2001,CHL,Chile,27,1,7.56,7.33,6.31,8.66,8.68,6.82,4.606.89,0.09,0.13,5.9,10.39,75,7.2,0.49,78.7,249
2002,CHL,Chile,27,1,7.68,7.32,6.37,8.77,8.77,7.15,4.479.18,-0.17,0.15,3.6,10.17,75,5.3,01.09,70.9,245
2003,CHL,Chile,21,1,7.81,7.47,6.36,8.93,8.89,7.39,4.824.22,0.40,0.14,5.3,9.77,74,8.7,0.76,113.1,239
2004,CHL,Chile,20,1,7.83,7.57,6.27,9.16,8.77,7.39,6.185.51,0.19,0.12,6.9,10.16,74,11.2,0.69,118,239
2005,CHL,Chile,15,1,7.98,7.59,6.62,9.57,8.59,7.52,7.561.83,0.09,0.12,6.1,9.34,73,15,0.84,111.6,245
2006,CHL,Chile,12,1,7.99,7.65,6.77,9.33,8.72,7.46,9.418.06,0.32,0.12,4.9,09.02,73,15.9,0.61,113.4,244
2007,CHL,Chile,11,1,8.04,8.00,6.89,9.11,8.80,7.42,10.461.37,0.13,0.19,7.8,8.43,70,21.2,0.41,123.4,238
2008,CHL,Chile,11,1,7.98,7.95,6.95,8.85,8.81,7.34,10.783.17,-0.25,0.28,10.3,9.29,69,21.9,0.43,73.4,235
2009,CHL,Chile,10,1,7.94,7.87,6.95,9.33,8.37,7.15,10.182.86,0.41,0.16,8.1,11.31,67,16.1,0.6,134.6,232
2010,CHL,Chile,10,1,8.01,7.97,6.88,9.31,8.28,7.61,12.767.78,0.32,0.11,7.4,8.41,72,16.9,0.68,257.4,227
2011,CHL,Chile,10,1,8.02,8.04,6.85,9.24,8.16,7.79,14.628.57,-0.17,0.22,10.2,7.32,72,19,0.45,107.6,229
2012,CHL,Chile,14,1,7.91,8.05,6.86,9.14,7.98,7.50,15.406.49,0.03,0.09,11.9,6.64,72,14.8,0.33,117.3,225
2013,CHL,Chile,16,1,7.88,8.10,6.83,9.05,7.97,7.44,15.833.28,-0.15,0.14,7.6,6.2,71,15.5,0.36,95.6,227
2014,CHL,Chile,22,1,7.91,8.04,6.85,8.89,8.43,7.32,14.666.34,0.04,0.11,9.8,6.65,73,11.6,0.45,89.9,230
2015,CHL,Chile,21,1,7.92,8.01,6.78,9.39,8.18,7.23,13.569.95,-0.05,0.12,7.3,6.49,70,10.3,0.43,78.5,223
2016,CHL,Chile,23,1,7.92,7.95,6.75,9.45,8.22,7.22,13.785.69,0.12,0.11,4.6,6.73,66,11.3,0.41,85.2,214
2017,CHL,Chile,21,1,7.95,8.06,6.70,9.66,8.25,7.10,15.045.53,0.29,0.14,1.9,6.95,67,12.9,0.42,106.6,212
2018,CHL,Chile,19,1,7.95,8.05,6.68,9.73,8.17,7.14,15.795.71,-0.09,0.11,2.7,7.21,67,17.4,0.43,84.9,205
2019,CHL,Chile,29,1,7.86,7.82,6.62,9.69,8.16,7.03,14.627.15,-0.09,0.17,4.9,7.27,67,18.6,0.01,73.2,203
2020,CHL,Chile,33,1,7.56,7.68,6.68,9.38,7.37,6.67,13.165.39,-0.11,0.35,4.5,11.14,67,21.5,0.07,72.6,194
2000,CHN,China,107,4,5.51,3.59,4.61,8.24,6.12,4.98,959.36,0.42,0.19,3.5,3.26,31,,-0.21,,1086
2001,CHN,China,105,4,5.58,3.60,4.83,8.37,6.44,4.65,1.053.11,-0.23,0.21,3.5,3.8,35,,-0.21,,1154
2002,CHN,China,100,4,5.75,4.51,4.83,8.34,6.24,4.81,1.148.51,-0.19,0.24,3.6,4.24,35,,-0.33,,1223
2003,CHN,China,100,4,5.79,4.53,4.96,8.29,6.22,4.96,1.288.64,0.10,0.18,3.5,4.58,34,75.6,-0.57,30.9,1285
2004,CHN,China,111,4,5.63,4.38,4.87,8.08,6.23,4.61,1.508.67,-0.17,0.20,3.5,4.49,34,114.2,-0.39,22.9,1373
