Year,ISO Code,Countries,Rank,Quartile,EFW,Size of Gov,Legal System,Sound Money,Freedom to Trade,Regulation,PIB per capita,% PIB per capita,Std % PIB per capita,PIB per capita (log),% PIB Real,Retorno Anual,Risco Anual,TradeVolume,NEmpresas,ValorMercado
2020,ARG,Argentina,161,4,"4,87","6,48","4,80","4,52","3,09","5,49","8.496,43","-0,147","0,135","9,05","-0,099","0,21","0,53",,,
2000,BRA,Brazil,97,4,"5,77","6,66","4,67","6,09","5,89","5,54","3.726,81","0,078","0,166","8,22","0,044","-0,11","0,33","-0,3463289241","0,2368421053","0,3183420399"
2020,CHL,Chile,33,1,"7,56","7,68","6,68","9,38","7,37","6,67","13.165,39","-0,100","0,081","9,49","-0,061","-0,11","0,35",,,
2020,CHN,China,116,3,"6,27","4,97","5,12","8,44","6,56","6,24","10.408,72","0,026","0,049","9,25","0,022","0,13","0,21",,,
2020,FRA,France,54,2,"7,33","4,92","7,19","9,15","8,21","7,20","39.055,28","-0,036","0,046","10,57","-0,079","-0,07","0,33",,,
2020,DEU,Germany,25,1,"7,65","5,64","7,75","9,23","7,98","7,66","46.772,83","0,000","0,041","10,75","-0,037","0,03","0,33",,,
2020,HKG,"Hong Kong SAR, China",1,1,"8,59","8,24","7,50","9,65","8,73","8,84","46.109,23","-0,047","0,043","10,74","-0,065","-0,03","0,23",,,
2020,ISR,Israel,49,2,"7,35","6,26","6,12","9,64","7,61","7,14","44.846,79","0,009","0,030","10,71","-0,019","-0,03","0,28",,,
2020,JPN,Japan,12,1,"7,82","5,65","7,71","9,82","7,78","8,12","39.986,93","-0,011","0,057","10,60","-0,043","0,15","0,26",,,
2020,KOR,"Korea, Rep.",43,2,"7,42","6,34","6,65","9,65","7,16","7,32","31.721,30","-0,006","0,050","10,36","-0,007","0,27","0,28",,,
2020,MEX,Mexico,64,2,"7,12","8,08","4,72","8,16","7,65","7,00","8.655,00","-0,147","0,093","9,07","-0,080","0,01","0,25",,,
2020,TWN,Taiwan,24,1,"7,68","7,63","7,16","9,58","6,31","7,71","0,00","0,000","0,000","0,00","0,034","0,21","0,21",,,
2020,THA,Thailand,86,3,"6,78","6,91","4,96","9,78","6,47","5,80","7.001,79","-0,082","0,077","8,85","-0,062","-0,09","0,30",,,
