Year,Economic Freedom Summary Index,1  Size of Government,2  Legal System & Property Rights,3  Sound Money,4  Freedom to trade internationally,5  Regulation
2020,"5,61","5,29","3,62","8,46","5,41","5,27"
2019,"5,74","5,29","3,58","8,16","6,24","5,43"
2018,"5,56","5,33","3,60","7,83","6,24","4,81"
2017,"5,00","5,25","3,46","5,88","5,99","4,41"
2016,"5,19","5,31","3,40","7,09","5,40","4,74"
2015,"5,29","5,37","3,19","7,64","5,38","4,87"
2014,"5,56","5,40","3,15","9,03","5,49","4,74"
2013,"5,73","5,76","3,06","9,11","5,99","4,72"
2012,"6,01","6,66","3,07","9,37","6,21","4,74"
2011,"6,07","6,28","3,33","9,24","6,50","5,02"
2010,"6,11","5,92","3,75","8,96","6,61","5,33"
2009,"6,03","5,52","3,83","8,82","6,62","5,37"
2008,"6,27","6,80","3,88","8,46","6,75","5,46"
2007,"6,34","6,81","4,02","8,84","6,79","5,24"
2006,"6,18","6,29","3,84","8,86","6,70","5,19"
2005,"6,08","6,26","3,66","8,95","6,57","4,94"
2004,"5,88","5,37","3,30","8,62","6,87","5,24"
2003,"5,74","5,72","3,41","9,18","5,32","5,09"
2002,"5,88","5,81","3,41","9,52","5,75","4,91"
2001,"6,15","6,22","3,28","9,50","6,83","4,93"
2000,"6,20","6,19","3,46","9,49","6,59","5,29"
1995,"5,44","5,07","3,34","7,48","5,22","6,09"
1990,"4,40","4,71","3,07","7,81","1,04","5,39"
1985,"4,24","4,01","3,25","8,66","0,56","4,73"
1980,"4,52","4,41","3,19","7,56","3,03","4,41"
1975,"4,08","4,21","3,17","5,85","3,27","3,88"
1970,,"4,79","3,36","7,21",,
