Year,EFW_Index,GovSize,LegalSystem,SoundMoney,TradeFreedom,Regulation
2020,"7,33","4,92","7,19","9,15","8,21","7,2"
2019,"7,55","5,08","7,15","9,41","8,56","7,56"
2018,"7,53","5,08","7,15","9,36","8,5","7,58"
2017,"7,6","5,37","7,38","9,28","8,44","7,54"
2016,"7,6","5,34","7,38","9,48","8,41","7,41"
2015,"7,69","5,33","7,48","9,77","8,44","7,44"
2014,"7,72","5,29","7,48","9,74","8,67","7,42"
2013,"7,58","5,29","7,44","9,75","8,16","7,25"
2012,"7,6","5,26","7,47","9,66","8,22","7,4"
2011,"7,64","5,45","7,47","9,63","8,26","7,39"
2010,"7,74","5,56","7,6","9,67","8,32","7,53"
2009,"7,69","5,58","7,62","9,66","8,4","7,21"
2008,"7,74","5,88","7,57","9,54","8,37","7,34"
2007,"7,79","5,9","7,71","9,58","8,44","7,3"
2006,"7,58","5,18","7,43","9,51","8,41","7,35"
2005,"7,57","5,12","7,18","9,58","8,46","7,53"
2004,"7,61","4,91","7,06","9,61","8,92","7,56"
2003,"7,61","4,98","6,98","9,59","9,09","7,38"
2002,"7,62","5,02","6,96","9,61","9,13","7,37"
2001,"7,54","4,93","6,91","9,63","8,76","7,45"
2000,"7,67","4,69","7,05","9,59","9,09","7,93"
1995,"7,34","5,08","7,01","9,83","8,48","6,31"
1990,"7,17","5,32","6,62","9,69","7,78","6,42"
1985,"6,18","4,39","6,39","6,69","7,13","6,32"
1980,"6,4","5,26","6,79","6,4","7,15","6,42"
1975,"6,48","5,68","6,53","6,26","7,32","6,61"
1970,"6,39","6,32","5,67","7,04","6,98","5,95"
