Year,Economic Freedom Summary Index,1  Size of Government,2  Legal System & Property Rights,3  Sound Money,4  Freedom to trade internationally,5  Regulation
2020,"7,65","5,64","7,75","9,23","7,98","7,66"
2019,"7,89","6,00","7,71","9,41","8,34","7,99"
2018,"7,92","6,05","7,71","9,39","8,32","8,12"
2017,"7,97","6,07","7,85","9,26","8,38","8,29"
2016,"8,00","6,21","7,88","9,48","8,30","8,14"
2015,"8,01","6,23","7,95","9,65","8,21","8,03"
2014,"7,96","6,29","8,01","9,61","8,34","7,56"
2013,"7,92","6,31","7,99","9,59","7,99","7,72"
2012,"7,89","6,13","8,06","9,49","8,08","7,71"
2011,"7,92","6,22","8,06","9,56","8,16","7,61"
2010,"7,84","6,19","8,07","9,59","8,19","7,14"
2009,"7,78","6,16","8,20","9,53","8,22","6,77"
2008,"7,70","6,38","8,02","9,51","8,19","6,41"
2007,"7,74","6,38","8,16","9,50","8,28","6,39"
2006,"7,78","6,52","8,21","9,47","8,36","6,36"
2005,"7,81","6,46","8,21","9,53","8,38","6,49"
2004,"7,90","6,41","8,15","9,54","9,01","6,40"
2003,"7,91","6,16","8,12","9,59","9,37","6,31"
2002,"7,86","6,06","8,08","9,59","9,36","6,21"
2001,"7,80","6,04","8,07","9,56","9,33","6,00"
2000,"7,94","5,83","8,23","9,55","9,44","6,62"
1995,"7,86","6,04","8,35","9,76","9,23","5,95"
1990,"7,85","6,29","8,26","9,67","9,48","5,56"
1985,"7,74","5,51","8,56","9,47","9,69","5,45"
1980,"7,71","5,61","8,67","9,51","9,32","5,45"
1975,"7,42","5,28","7,88","9,50","9,30","5,15"
1970,"7,65","5,78","7,86","9,49","9,56","5,55"
