Year,EFW_Index,GovSize,LegalSystem,SoundMoney,TradeFreedom,Regulation
2020,"8,59","8,24","7,5","9,65","8,73","8,84"
2019,"8,87","8,39","7,53","9,61","9,56","9,29"
2018,"9,01","8,59","7,87","9,66","9,49","9,43"
2017,"8,96","8,57","7,88","9,63","9,46","9,28"
2016,"8,97","8,52","7,88","9,58","9,45","9,4"
2015,"8,97","8,6","7,95","9,55","9,34","9,39"
2014,"8,97","8,69","7,82","9,39","9,55","9,41"
2013,"8,93","8,78","7,75","9,4","9,35","9,39"
2012,"9,01","8,93","7,76","9,49","9,49","9,4"
2011,"9,06",9,"7,87","9,52","9,5","9,4"
2010,"9,1","8,97","7,94","9,65","9,52","9,4"
2009,"9,1","9,05","8,02","9,63","9,46","9,32"
2008,"9,07","9,09","7,94","9,41","9,62","9,28"
2007,"9,03","9,01","7,96","9,36","9,66","9,16"
2006,"9,04","9,04","7,98","9,48","9,59","9,12"
2005,"9,01","8,88","7,91","9,7","9,61","8,97"
2004,"8,88","8,63","7,56","9,8","9,36","9,05"
2003,"8,83","8,48","7,3","9,67","9,66","9,02"
2002,"8,79","8,56","7,3","9,56","9,62","8,91"
2001,"8,83","8,9","7,29","9,33","9,72","8,93"
2000,"8,81","8,93","7,2","9,07","9,73","9,1"
1995,"9,09","9,21","8,06","9,43","9,67","9,09"
1990,"9,11","9,16","7,74","9,24","9,97","9,43"
1985,"8,75","9,2","8,12","9,28","9,93","7,21"
1980,"8,76","9,51","8,81","8,33","9,94","7,21"
1975,"8,88","9,4","8,77","9,25","9,92","7,06"
1970,"8,42","9,36","8,08","8,85","8,89","6,95"
