Date,Open,High,Low,Close,Adj Close,Volume
2022-06-01,111351.000000,112709.000000,97758.000000,98542.000000,98542.000000,243623000
2022-07-01,98542.000000,103989.000000,95267.000000,103165.000000,103165.000000,230772200
2022-08-01,103165.000000,114375.000000,101694.000000,109523.000000,109523.000000,297125100
2022-09-01,109524.000000,114392.000000,106244.000000,110037.000000,110037.000000,288740800
2022-10-01,110048.000000,120752.000000,110048.000000,116037.000000,116037.000000,301259400
2022-11-01,116037.000000,120039.000000,107245.000000,112486.000000,112486.000000,339625200
2022-12-01,112479.000000,113761.000000,101632.000000,110031.000000,110031.000000,307111200
2023-01-01,109734.000000,114835.000000,103852.000000,113532.000000,113532.000000,295580500
2023-02-01,113430.000000,113598.000000,104932.000000,104932.000000,104932.000000,228722100
2023-03-01,104933.000000,106724.000000,96997.000000,101882.000000,101882.000000,288036100
2023-04-01,101883.000000,108277.000000,99898.000000,104432.000000,104432.000000,218330100
2023-05-01,104431.000000,111211.000000,101063.000000,110745.000000,110745.000000,180620200
2023-05-22,110744.906250,111643.296875,110256.968750,110571.617188,110571.617188,0
