Year,Economic Freedom Summary Index,1  Size of Government,2  Legal System & Property Rights,3  Sound Money,4  Freedom to trade internationally,5  Regulation
2020,"7,35","6,26","6,12","9,64","7,61","7,14"
2019,"7,63","6,43","6,08","9,76","8,43","7,42"
2018,"7,64","6,43","6,08","9,81","8,46","7,44"
2017,"7,66","6,47","6,16","9,74","8,49","7,43"
2016,"7,64","6,53","6,03","9,67","8,46","7,50"
2015,"7,61","6,50","5,98","9,69","8,39","7,49"
2014,"7,60","6,56","5,70","9,62","8,56","7,56"
2013,"7,51","6,59","5,67","9,63","8,24","7,40"
2012,"7,49","6,68","5,78","9,64","8,13","7,24"
2011,"7,49","6,62","5,92","9,46","8,18","7,27"
2010,"7,51","6,46","5,86","9,49","8,47","7,27"
2009,"7,30","6,38","5,63","9,52","8,60","6,38"
2008,"7,33","6,60","5,50","9,57","8,50","6,47"
2007,"7,40","6,33","5,70","9,73","8,61","6,63"
2006,"7,36","6,19","5,86","9,57","8,54","6,65"
2005,"7,38","6,20","5,94","9,56","8,61","6,57"
2004,"7,32","5,88","5,75","9,62","8,95","6,41"
2003,"7,31","6,03","5,71","9,54","9,09","6,18"
2002,"7,23","5,75","5,96","9,19","9,09","6,18"
2001,"6,92","5,20","6,13","9,28","8,51","5,50"
2000,"6,76","5,25","6,18","7,97","8,43","5,99"
1995,"6,11","5,19","6,12","7,30","6,60","5,34"
1990,"5,10","5,36","5,42","4,35","6,81","3,58"
1985,"4,47","4,58","6,46","1,25","6,17","3,90"
1980,"4,23","2,70","6,20","1,71","6,49","4,05"
1975,"4,39","3,18","6,18","5,57","2,64","4,36"
1970,"5,02","4,08","6,78","6,10","3,77","4,37"
