Year,Economic Freedom Summary Index,1  Size of Government,2  Legal System & Property Rights,3  Sound Money,4  Freedom to trade internationally,5  Regulation
2020,"7,12","8,08","4,72","8,16","7,65","7,00"
2019,"7,20","8,25","4,69","8,23","7,71","7,10"
2018,"7,17","8,26","4,74","8,13","7,63","7,10"
2017,"7,12","8,36","4,78","7,89","7,61","6,98"
2016,"7,07","8,37","4,69","8,12","7,26","6,90"
2015,"7,15","8,30","4,79","8,13","7,55","7,01"
2014,"7,10","8,11","4,87","8,11","7,57","6,84"
2013,"6,98","7,61","4,91","8,13","7,17","7,11"
2012,"6,95","7,58","4,96","8,12","7,07","7,03"
2011,"6,89","7,39","5,04","8,17","7,05","6,78"
2010,"6,93","7,55","5,04","8,12","7,00","6,93"
2009,"6,81","7,14","5,04","8,10","7,05","6,71"
2008,"6,88","7,43","5,16","8,16","7,00","6,64"
2007,"6,88","7,44","5,16","8,13","6,98","6,67"
2006,"6,95","7,35","5,31","8,18","7,12","6,78"
2005,"6,96","7,34","5,36","8,21","7,20","6,71"
2004,"6,89","7,48","4,94","7,99","7,18","6,84"
2003,"6,81","7,54","4,76","7,97","7,03","6,73"
2002,"6,82","7,71","4,83","7,81","7,03","6,70"
2001,"6,69","7,74","4,70","7,62","7,17","6,21"
2000,"6,66","7,58","4,84","6,91","7,30","6,69"
1995,"6,47","7,86","5,41","4,96","7,63","6,48"
1990,"5,98","7,85","5,88","3,65","7,21","5,33"
1985,"4,69","6,33","5,59","3,51","4,14","3,87"
1980,"5,31","5,46","5,76","7,87","2,64","4,82"
1975,"6,54","7,37","5,75","8,06","6,91","4,63"
1970,"6,55","7,80","4,48","9,18","6,93","4,35"
