Year,Return,Risk
2000,"-0,05912276486","0,3787363271"
2001,"-0,1756756346","0,7868849521"
2002,"0,2519352481","0,5321075157"
2003,"1,074766043","0,2224123147"
2004,"0,2042232869","0,3052210351"
2005,"0,3058545484","0,2837382973"
2006,"0,1542221589","0,2514986849"
2007,"-0,03060400469","0,14984704"
2008,"-0,4634055432","0,3803561981"
2009,"1,134037194","0,2761043203"
2010,"0,5632158563","0,2277199692"
2011,"-0,2243058245","0,3161337907"
2012,"0,2422708406","0,3270772261"
2013,"0,7382784404","0,4195494934"
2014,"0,4106917829","0,4151753964"
2015,"0,3316144924","0,3767168486"
2016,"0,6860566879","0,2526876694"
2017,"0,8328380829","0,2073748908"
2018,"0,03973483871","0,3524740199"
2019,"0,1040032294","0,6099682233"
2020,"0,20326876","0,601905329"
