Year,Return,Risk
2000,"0,07841103246","0,330469782"
2001,"-0,2802014372","0,3200405201"
2002,"-0,1399261064","0,3349657169"
2003,"0,997166621","0,2236815724"
2004,"0,1144112398","0,1884117429"
2005,"0,5762391688","0,2640749669"
2006,"0,1630669828","0,1981619412"
2007,"0,332601586","0,166148531"
2008,"-0,339367961","0,324739719"
2009,"0,6641306837","0,2061005175"
2010,"0,01793523134","0,1720676556"
2011,"-0,05261734885","0,1948314925"
2012,"-0,05249556063","0,1876470196"
2013,"-0,2028413179","0,1519951302"
2014,"-0,01534457062","0,2135106777"
2015,"-0,1386117507","0,1952341439"
2016,"0,6005296243","0,2641660818"
2017,"0,3129996444","0,1554981377"
2018,"0,1469857383","0,2241798072"
2019,"0,1680493665","0,1188839058"
2020,"0,01974314572","0,3928038011"
