Year,Return,Risk
2000,"-0,01124698199","0,1209607521"
2001,"0,01285058016","0,1986259772"
2002,"-0,1310467436","0,1226146958"
2003,"0,4060619367","0,1769954035"
2004,"0,2846414832","0,1446423231"
2005,"0,1704974915","0,1294778023"
2006,"0,3666908981","0,1112447485"
2007,"-0,03693597856","0,1911201772"
2008,"-0,08567104442","0,1593607527"
2009,"0,4940261859","0,191607715"
2010,"0,2268624506","0,1297235384"
2011,"-0,08823321714","0,1864310529"
2012,"0,06845039019","0,1248609987"
2013,"-0,2444842281","0,1354987751"
2014,"0,115519813","0,1262165146"
2015,"-0,03409413746","0,09333258161"
2016,"0,133186901","0,09546540242"
2017,"0,3943040838","0,1819423749"
2018,"-0,07681311888","0,1159272207"
2019,"-0,1542009135","0,1241533784"
2020,"-0,06198737549","0,2961620771"
