Year,Return,Risk
2000,"0,3456743088","0,1385954903"
2001,"-0,277855956","0,1931539172"
2002,"0,005463627414","0,2455855045"
2003,"0,0606168538","0,1572723434"
2004,"-0,2507693045","0,1804716557"
2005,"0,05556447821","0,2110846239"
2006,"1,214811632","0,2663171303"
2007,"0,5731752023","0,399681914"
2008,"-0,5458639114","0,3852820958"
2009,"0,501661019","0,3303926061"
2010,"-0,06643643396","0,2232728388"
2011,"-0,1784803237","0,1429868495"
2012,"0,04048312084","0,2070611919"
2013,"-0,1477051412","0,1870264822"
2014,"0,5790614669","0,2174316134"
2015,"-0,1472615195","0,3860951149"
2016,"0,1539910516","0,2605125589"
2017,"0,1018202242","0,07409150543"
2018,"-0,2574846265","0,1469759786"
2019,"0,1516522085","0,1655278569"
2020,"15,2125602","11,89275606"
