Year,Return,Risk
2000,"0,05983949487","0,135699869"
2001,"-0,2561678117","0,2132858329"
2002,"-0,3415586277","0,2685973915"
2003,"0,2384576926","0,1829882311"
2004,"0,07565055476","0,05971442469"
2005,"0,2642775255","0,103822981"
2006,"0,1334521278","0,08618104203"
2007,"-0,1316831652","0,15437868"
2008,"-0,3893124964","0,2082690878"
2009,"0,2574178388","0,2282086114"
2010,"0,07114397313","0,1754561488"
2011,"-0,1764948074","0,1945974318"
2012,"0,131588135","0,1304273874"
2013,"0,116037107","0,1121153595"
2014,"0,1052710606","0,126507435"
2015,"-0,04066459901","0,1988263313"
2016,"0,07513660352","0,1115444279"
2017,"0,1543579122","0,0945321808"
2018,"-0,08924045825","0,1405016624"
2019,"0,1629611903","0,1229262723"
2020,"-0,07011816289","0,2859415148"
