Year,Return,Risk
2000,"-0,00591900644","0,1929406045"
2001,"-0,2483437045","0,2619458512"
2002,"-0,4620125359","0,3421848507"
2003,"0,4770200423","0,2751162778"
2004,"0,04835411109","0,09832833611"
2005,"0,3335722226","0,1143250586"
2006,"0,1964981504","0,09064906536"
2007,"0,009226561105","0,1891981217"
2008,"-0,3668259791","0,2276846764"
2009,"0,2928394234","0,2687683489"
2010,"0,2618550402","0,1370923494"
2011,"-0,08739972783","0,2567955016"
2012,"0,2039259902","0,1362274037"
2013,"0,1968133824","0,1116351786"
2014,"0,149126176","0,1304135099"
2015,"-0,0838024236","0,235525612"
2016,"0,1772994134","0,1553172368"
2017,"0,1434006508","0,08447638977"
2018,"-0,1528779594","0,1363349042"
2019,"0,1618951035","0,1230552361"
2020,"-0,8869986596","0,8771159671"
