Year,Return,Risk
2000,"0,03669825478","0,2470049753"
2001,"-0,3339295155","0,2490702502"
2002,"-0,1367187525","0,1728842975"
2003,"0,4352998814","0,1416671734"
2004,"0,03253128698","0,1566889127"
2005,"0,1480465711","0,1299120796"
2006,"0,2763436605","0,09970162097"
2007,"0,166579646","0,2735434768"
2008,"-0,4339036062","0,3192603587"
2009,"0,5154143739","0,2671983829"
2010,"0,1652594784","0,1428274983"
2011,"-0,1303708493","0,2506483013"
2012,"0,1637547222","0,1889491238"
2013,"-0,07139245595","0,1352288148"
2014,"0,1121662699","0,1377315127"
2015,"-0,1968389199","0,2303644587"
2016,"0,1868439509","0,1647297569"
2017,"0,4077984776","0,09659556115"
2018,"-0,1503560161","0,1901967474"
2019,"-0,05832840844","0,1860994434"
2020,"0,07491003426","0,1962184331"
