Year,Return,Risk
2000,"-0,1128573276","0,2446570745"
2001,"-0,2160093315","0,2473691862"
2002,"-0,03119769388","0,1871206323"
2003,"0,7370542784","0,2613723664"
2004,"0,1369526178","0,2292952484"
2005,"0,4585439347","0,2115204162"
2006,"0,3604011862","0,1938134004"
2007,"0,2583461925","0,2859908601"
2008,"-0,4404227778","0,3543158633"
2009,"0,698222485","0,3308017648"
2010,"0,1277844348","0,1836892569"
2011,"-0,05569480012","0,2374389334"
2012,"0,1606962543","0,1665335427"
2013,"0,009072455363","0,1443778927"
2014,"0,4465719681","0,121820471"
2015,"-0,1413740649","0,1200596554"
2016,"0,1319155687","0,1604177934"
2017,"0,2880870896","0,09131493548"
2018,"-0,01784143566","0,145196334"
2019,"0,1044368223","0,1070834458"
2020,"0,1398165874","0,3209013257"
