Year,Return,Risk
2000,"-0,2915167399","0,2169321086"
2001,"-0,277800857","0,1871897396"
2002,"-0,1658224217","0,1887396194"
2003,"0,2930080787","0,1564112301"
2004,"0,05600902409","0,1187187088"
2005,"0,4621022131","0,1429816529"
2006,"0,04406051208","0,125989065"
2007,"-0,2180785031","0,1321925464"
2008,"-0,4118765783","0,2987666492"
2009,"0,2757038407","0,2289240847"
2010,"0,003910543874","0,194096687"
2011,"-0,1402052533","0,1442010289"
2012,"0,2653959441","0,2010224083"
2013,"0,3389878194","0,1889631641"
2014,"0,1850450736","0,1270877415"
2015,"-0,008831413049","0,1916006927"
2016,"0,08693988544","0,1903380367"
2017,"0,213060071","0,08498046103"
2018,"-0,1006480966","0,1645081769"
2019,"0,1170573373","0,1269606995"
2020,"0,192121371","0,2309790732"
