Year,Return,Risk
2000,"-0,345351136","0,3943067161"
2001,"0,2106456275","0,3718991146"
2002,"-0,2088173841","0,2754572182"
2003,"0,4336160942","0,2224905951"
2004,"0,09923395639","0,1569286965"
2005,"0,5008362153","0,21628541"
2006,"-0,02828913314","0,1186978915"
2007,"0,1944157076","0,2407133776"
2008,"-0,2847145614","0,2877417694"
2009,"0,3788970706","0,241856978"
2010,"0,2916195467","0,1515346116"
2011,"-0,05505063081","0,2020632043"
2012,"0,00314445921","0,1261021298"
2013,"-0,01059661235","0,1003837779"
2014,"0,004177928496","0,07536416815"
2015,"-0,01908414004","0,08836096822"
2016,"0,08133113197","0,06198374212"
2017,"0,2412928591","0,08260189679"
2018,"-0,1408983068","0,1776918199"
2019,"-0,03893239186","0,1512912894"
2020,"0,4045285048","0,2454375373"
