Year,Return,Risk
2000,"-0,3908396049","0,3569433489"
2001,"-0,01079146491","0,4388892991"
2002,"-0,1459400215","0,2496486919"
2003,"0,271221552","0,2387609243"
2004,"-0,05978457999","0,1660227554"
2005,"0,08974459947","0,1377820128"
2006,"0,1787244801","0,1321739581"
2007,"-0,02318425663","0,2008032086"
2008,"-0,4351952215","0,2911641248"
2009,"0,7986096247","0,2886375701"
2010,"0,1969664028","0,1735350615"
2011,"-0,1780434677","0,1808963127"
2012,"0,04429116304","0,1512246936"
2013,"0,07803160343","0,05844259353"
2014,"0,1062728323","0,07762524315"
2015,"-0,1368643041","0,1123321968"
2016,"0,1692175348","0,08302418851"
2017,"0,1752600134","0,07224854804"
2018,"-0,1055072429","0,1233498571"
2019,"0,157349876","0,1014347054"
2020,-1,"0,9706935579"
