Year,Return,Risk
2000,"-0,3032016581","0,4069271725"
2001,"0,02419093748","0,3600467288"
2002,"0,0856463893","0,2121962422"
2003,"0,8888678822","0,2503230973"
2004,"0,004306694658","0,1543219138"
2005,"0,08650686603","0,1594124823"
2006,"-0,1423888731","0,1573331783"
2007,"0,1990551134","0,1951600285"
2008,"-0,4418856545","0,351300401"
2009,"0,5914231187","0,2152079009"
2010,"0,3841073758","0,1639532043"
2011,"0,1243335733","0,2185058925"
2012,"0,3600007292","0,1206769173"
2013,"-0,1356124872","0,1722967539"
2014,"0,2408967919","0,1060004503"
2015,"-0,1772458625","0,1124642614"
2016,"0,2124014845","0,08111787887"
2017,"0,1582123468","0,06307107762"
2018,"-0,1013378182","0,1408951431"
2019,"-0,07771677837","0,1064617214"
2020,"-0,03114641614","0,3087992824"
