Year,Return,Risk
2000,"-0,3607478547","0,5318688293"
2001,"0,2402598282","0,7170520458"
2002,"-0,1675407165","0,4651444019"
2003,"0,5644761404","0,4426985059"
2004,"0,5835172431","0,2376234395"
2005,"0,6315238189","0,2683635703"
2006,"-0,07642032814","0,2463696807"
2007,"0,03678737968","0,2920298255"
2008,"-0,392602876","0,4180103833"
2009,"1,107262969","0,2966128287"
2010,"0,1578665148","0,2249108347"
2011,"-0,09650733241","0,2521828054"
2012,"0,3780253191","0,2039577037"
2013,"-0,2148330651","0,2411189725"
2014,"0,4378982576","0,19776659"
2015,"-0,1738665103","0,1388207465"
2016,"0,1743931608","0,1801617108"
2017,"0,3851071669","0,1740782545"
2018,"-0,1292959869","0,2273256027"
2019,"0,1447611222","0,2389441181"
2020,"-0,987632208","0,9930374622"
