Year,Return,Risk
2000,"-0,02040212828","0,1619232404"
2001,"-0,1726268895","0,1826641969"
2002,"-0,2428773234","0,1896739428"
2003,"0,3218768133","0,1047657037"
2004,"0,04432736713","0,07319479765"
2005,"0,0836472054","0,07489494867"
2006,"0,1235548086","0,05249127385"
2007,"-0,04150207296","0,1071259185"
2008,"-0,4009067675","0,1980589159"
2009,"0,3002736336","0,2117567755"
2010,"0,1976496233","0,1723067834"
2011,"0,02044135781","0,1521172686"
2012,"0,1414953758","0,1037195997"
2013,"0,1898925872","0,09504903915"
2014,"0,1191524849","0,08336136583"
2015,"-0,02744374672","0,1341207422"
2016,"0,1745300214","0,09440860202"
2017,"0,239127249","0,05220718092"
2018,"-0,04239306416","0,1602656311"
2019,"0,1928256733","0,1211961513"
2020,"0,1515166444","0,2397425134"
