Year,Economic Freedom Summary Index,1  Size of Government,2  Legal System & Property Rights,3  Sound Money,4  Freedom to trade internationally,5  Regulation
2020,"6,55","5,99","5,95","8,21","5,80","6,78"
2019,"6,79","6,14","5,90","8,24","6,50","7,16"
2018,"6,80","6,23","5,88","8,21","6,42","7,28"
2017,"6,74","5,99","5,89","8,19","6,49","7,16"
2016,"6,74","5,79","5,98","8,14","6,42","7,37"
2015,"6,87","5,74","6,36","8,22","6,47","7,54"
2014,"6,91","6,18","6,43","8,16","6,47","7,32"
2013,"7,03","6,18","6,50","8,34","6,83","7,29"
2012,"7,00","6,20","6,53","8,21","6,81","7,27"
2011,"7,02","6,31","6,48","8,20","6,75","7,36"
2010,"6,95","6,27","6,41","8,07","6,55","7,45"
2009,"6,78","6,16","6,25","7,70","6,60","7,18"
2008,"6,79","6,28","6,33","7,29","6,59","7,47"
2007,"6,96","6,75","6,39","7,59","6,60","7,48"
2006,"6,96","6,73","6,39","7,73","6,61","7,35"
2005,"7,01","6,77","6,41","7,82","6,60","7,48"
2004,"6,86","6,74","6,10","7,93","6,11","7,39"
2003,"6,85","6,62","5,95","7,77","6,62","7,28"
2002,"6,86","6,69","5,94","7,70","6,64","7,33"
2001,"6,94","6,72","6,08","7,97","6,64","7,29"
2000,"6,93","6,44","5,99","7,99","6,65","7,56"
1995,"6,69","6,97","6,09","6,53","6,26","7,60"
1990,"5,86","6,89","4,15","5,87","5,89","6,50"
1985,"5,38","6,42","4,19","5,70","4,98","5,60"
1980,"5,28","6,31","3,48","5,32","6,15","5,11"
1975,"5,36","4,83","3,47","6,07","6,85","5,60"
1970,"5,82","6,38","3,47","7,16","6,50","5,60"
