Year,ARG,BRA,CHL,CHN,FRA,DEU,HKG,ISR,JPN,KOR,MEX,TWN,THA,TUR,USA
1996,"0,077","0,167","0,092","0,107","0,081","0,094","0,050","0,028","0,103","0,065","0,249",0,"0,029","0,205","0,005"
1997,"0,034","0,144","0,091","0,106","0,095","0,109","0,037","0,028","0,123","0,110","0,255",0,"0,140","0,205","0,006"
1998,"0,036","0,170","0,119","0,097","0,088","0,107","0,065","0,030","0,116","0,219","0,203",0,"0,184","0,273","0,006"
1999,"0,049","0,252","0,141","0,097","0,088","0,105","0,064","0,033","0,119","0,246","0,209",0,"0,180","0,208","0,006"
2000,"0,049","0,166","0,072","0,044","0,058","0,057","0,063","0,050","0,111","0,237","0,060",0,"0,157","0,195","0,004"
2001,"0,054","0,157","0,075","0,023","0,058","0,062","0,061","0,051","0,112","0,237","0,069",0,"0,141","0,259","0,013"
2002,"0,274","0,146","0,049","0,022","0,064","0,066","0,030","0,067","0,107","0,240","0,064",0,"0,147","0,266","0,015"
2003,"0,338","0,168","0,074","0,025","0,118","0,118","0,023","0,070","0,103","0,123","0,092",0,"0,082","0,222","0,014"
2004,"0,378","0,142","0,144","0,033","0,121","0,121","0,032","0,072","0,092","0,085","0,084",0,"0,086","0,234","0,016"
2005,"0,392","0,197","0,161","0,037","0,088","0,085","0,044","0,058","0,086","0,090","0,066",0,"0,077","0,236","0,017"
2006,"0,393","0,160","0,131","0,042","0,077","0,074","0,046","0,060","0,065","0,025","0,072",0,"0,028","0,085","0,014"
2007,"0,056","0,087","0,089","0,060","0,078","0,076","0,044","0,045","0,058","0,027","0,070",0,"0,036","0,082","0,009"
2008,"0,046","0,051","0,104","0,061","0,051","0,054","0,022","0,063","0,069","0,113","0,027",0,"0,039","0,080","0,019"
2009,"0,135","0,130","0,127","0,079","0,084","0,088","0,043","0,094","0,062","0,136","0,126",0,"0,086","0,157","0,035"
2010,"0,146","0,129","0,135","0,076","0,090","0,090","0,042","0,092","0,067","0,144","0,137",0,"0,097","0,149","0,030"
2011,"0,149","0,128","0,117","0,076","0,092","0,097","0,045","0,091","0,048","0,140","0,137",0,"0,095","0,150","0,027"
2012,"0,161","0,160","0,118","0,076","0,083","0,093","0,040","0,101","0,043","0,134","0,137",0,"0,087","0,132","0,026"
2013,"0,157","0,160","0,119","0,056","0,070","0,086","0,040","0,085","0,105","0,113","0,137",0,"0,087","0,127","0,027"
2014,"0,149","0,159","0,124","0,060","0,057","0,068","0,015","0,063","0,108","0,070","0,064",0,"0,086","0,079","0,003"
2015,"0,116","0,160","0,093","0,069","0,091","0,105","0,014","0,076","0,096","0,045","0,081",0,"0,052","0,072","0,003"
2016,"0,075","0,113","0,060","0,047","0,078","0,084","0,008","0,067","0,111","0,039","0,073",0,"0,044","0,065","0,006"
2017,"0,099","0,149","0,071","0,041","0,081","0,085","0,010","0,065","0,109","0,043","0,083",0,"0,055","0,060","0,006"
2018,"0,141","0,149","0,074","0,043","0,086","0,088","0,010","0,052","0,084","0,041","0,083",0,"0,066","0,042","0,011"
2019,"0,155","0,149","0,074","0,047","0,086","0,088","0,025","0,053","0,078","0,052","0,084",0,"0,053","0,043","0,011"
2020,"0,135","0,129","0,081","0,049","0,046","0,041","0,043","0,030","0,057","0,050","0,093",0,"0,077","0,036","0,029"
