Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,368.326.063.082.936,202.114.317.377.838,,,286.275.772.424.221,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,969.213.799.902.411,131.972.855.835.971,532.461.475.003.629,430.030.204.197.981,134.813.544.254.563,125.170.779.319.388,864.961.599.083.139,797.348.310.049.023,108.488.860.420.404,887.905.580.116.147,854.933.694.128.718,,,,,47.480.046.887.261
Angola,AGO,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,152.048.590.009.835,,,,,19.645.323.140.762,281.401.541.498.559,,386.758.832.830.464,290.377.763.302.157,213.998.718.786.649,164.407.988.828.598,142.698.494.789.088,12.679.124.468.357,285.446.610.281.298
United Arab Emirates,ARE,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,908.877.377.185.638,184.571.935.721.925,225.486.848.865.656,259.527.767.613.405,956.482.751.251.492,427.882.015.993.316,466.753.962.385.421,,347.893.264.139.971,155.555.376.289.744,133.965.921.370.208,113.105.145.653.636,595.478.136.371.707,699.809.073.726.634,107.330.890.668.523
Argentina,ARG,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,321.798.357.692.325,247.937.498.313.619,119.582.697.101.542,229.608.863.649.362,276.418.511.242.315,264.559.064.812.489,145.684.120.465.348,168.503.858.127.805,923.115.975.148.604,453.659.663.659.484,600.714.181.209.072,462.939.195.882.696,267.799.853.085.437,405.291.324.046.884,669.273.860.698.598,453.942.537.841.681,782.151.178.958.785,102.431.429.882.039,870.998.502.052.646,666.286.716.480.174,56.622.858.756.388
Armenia,ARM,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,512.747.114.609.247,634.151.308.586.318,735.505.156.745.596,90.197.116.280.924,887.024.151.196.128,881.152.299.807.768,114.846.260.792.756,160.722.826.345.697,795.439.033.928.947,906.153.482.700.465,984.996.827.161.756,806.949.070.798.141,585.451.478.750.808,499.820.129.631.661,479.347.677.056.478,555.787.997.067.323,658.877.500.579.673,635.350.449.916.178,54.193.450.682.699,599.206.233.420.918,924.050.781.200.932
