Year,Economic Freedom Summary Index,1  Size of Government,2  Legal System & Property Rights,3  Sound Money,4  Freedom to trade internationally,5  Regulation
2020,"7,68","7,63","7,16","9,58","6,31","7,71"
2019,"8,10","7,72","7,10","9,74","7,89","8,05"
2018,"8,05","7,67","7,10","9,72","7,72","8,05"
2017,"7,98","7,52","7,04","9,75","7,73","7,87"
2016,"7,94","7,57","7,05","9,69","7,63","7,79"
2015,"7,81","7,55","6,99","9,63","7,49","7,41"
2014,"7,75","7,63","6,64","9,64","7,44","7,39"
2013,"7,62","7,62","6,25","9,64","7,39","7,21"
2012,"7,54","7,40","6,31","9,42","7,35","7,23"
2011,"7,50","7,32","6,35","9,55","7,30","6,98"
2010,"7,55","7,24","6,36","9,63","7,29","7,21"
2009,"7,39","6,75","6,31","9,65","7,25","7,02"
2008,"7,41","7,08","6,28","9,66","7,26","6,78"
2007,"7,45","7,29","6,23","9,81","7,22","6,72"
2006,"7,48","7,46","6,18","9,71","7,27","6,78"
2005,"7,43","7,32","6,19","9,58","7,32","6,75"
2004,"7,58","7,19","6,12","9,71","8,70","6,17"
2003,"7,51","6,89","6,11","9,77","8,82","5,93"
2002,"7,42","6,80","5,72","9,74","8,90","5,95"
2001,"7,27","6,62","5,61","9,54","8,76","5,83"
2000,"7,37","6,94","5,62","9,46","8,74","6,08"
1995,"7,17","6,48","5,36","9,69","7,73","6,58"
1990,"6,73","5,34","5,29","9,42","7,78","5,80"
1985,"6,19","5,18","4,86","9,33","6,51","5,07"
1980,"5,67","4,79","4,56","8,05","6,47","4,50"
1975,"5,42","4,88","4,43","7,30","5,93","4,56"
1970,"5,60","5,21","3,64","9,48","5,71","3,94"
