Year,Economic Freedom Summary Index,1  Size of Government,2  Legal System & Property Rights,3  Sound Money,4  Freedom to trade internationally,5  Regulation
2020,"6,78","6,91","4,96","9,78","6,47","5,80"
2019,"6,91","7,13","4,92","8,58","7,03","6,88"
2018,"6,86","7,09","4,90","8,59","6,82","6,92"
2017,"6,78","7,07","4,91","8,57","6,84","6,52"
2016,"6,81","6,81","4,98","8,59","6,71","6,96"
2015,"6,80","6,89","5,08","8,41","6,68","6,93"
2014,"6,54","7,36","4,73","7,02","6,69","6,91"
2013,"6,49","7,29","4,80","6,98","6,34","7,06"
2012,"6,55","7,34","4,87","6,97","6,49","7,07"
2011,"6,55","7,30","4,93","6,99","6,45","7,08"
2010,"6,58","7,20","5,08","7,10","6,43","7,10"
2009,"6,64","7,15","5,33","7,21","6,50","7,01"
2008,"6,75","7,45","5,55","7,06","6,62","7,08"
2007,"6,72","7,31","5,66","7,20","6,40","7,04"
2006,"6,74","7,55","5,64","6,96","6,46","7,09"
2005,"6,63","7,19","5,75","7,03","6,26","6,93"
2004,"6,71","7,55","5,63","7,09","6,52","6,78"
2003,"6,64","7,33","5,68","7,00","6,60","6,62"
2002,"6,60","7,03","5,94","6,87","6,66","6,51"
2001,"6,49","7,08","5,87","6,74","6,68","6,09"
2000,"6,48","6,88","5,84","6,74","6,63","6,33"
1995,"7,10","7,91","5,55","9,43","5,70","6,93"
1990,"6,48","7,68","4,88","7,79","5,43","6,62"
1985,"5,63","5,95","4,09","6,67","5,73","5,74"
1980,"5,49","6,30","4,31","6,16","5,52","5,15"
1975,"5,67","7,01","4,16","6,00","5,55","5,64"
1970,"5,87","7,44","4,58","6,71","5,83","4,82"
