Year,Economic Freedom Summary Index,1  Size of Government,2  Legal System & Property Rights,3  Sound Money,4  Freedom to trade internationally,5  Regulation
2020,"7,97","6,79","7,56","9,63","7,77","8,11"
2019,"8,25","7,32","7,64","9,75","7,83","8,68"
2018,"8,28","7,41","7,65","9,77","7,78","8,79"
2017,"8,38","7,36","7,80","9,77","7,92","9,03"
2016,"8,34","7,25","7,79","9,81","7,89","8,95"
2015,"8,31","7,24","7,75","9,86","7,81","8,89"
2014,"8,25","7,24","7,65","9,74","7,84","8,79"
2013,"8,23","7,02","7,59","9,82","7,96","8,74"
2012,"8,26","7,40","7,57","9,78","7,99","8,57"
2011,"8,16","7,20","7,49","9,68","8,01","8,42"
2010,"8,14","7,03","7,65","9,68","8,02","8,34"
2009,"8,05","6,65","7,70","9,63","8,03","8,26"
2008,"8,33","7,28","7,91","9,51","8,27","8,69"
2007,"8,53","7,83","7,98","9,61","8,33","8,94"
2006,"8,51","7,87","7,87","9,65","8,31","8,86"
2005,"8,51","7,89","7,94","9,70","8,29","8,74"
2004,"8,70","8,07","8,14","9,75","8,71","8,79"
2003,"8,61","7,87","8,26","9,74","8,67","8,52"
2002,"8,61","7,67","8,37","9,72","8,63","8,67"
2001,"8,56","7,52","8,62","9,61","8,73","8,33"
2000,"8,70","7,71","8,77","9,61","8,81","8,60"
1995,"8,63","7,45","8,59","9,79","8,81","8,51"
1990,"8,63","7,26","8,46","9,67","9,08","8,66"
1985,"8,50","6,67","8,64","9,34","9,26","8,60"
1980,"8,34","5,87","8,77","9,12","9,30","8,63"
1975,"8,14","5,41","8,76","9,07","9,16","8,30"
1970,"7,81","5,41","8,07","9,59","9,13","6,84"
