Year,ISO Code,Countries,Rank,Quartile,EFW,GovSize,PIB/capita,LegalSystem,SoundMoney,TradeFreedom,Regulation,Return,Risk,FDI,Unemployment,CPI,STT,PoliticalStab,MCC,LDC
2000,ARG,Argentina,37,2,7.21,7.98,"7.666,00",4.68,9.60,7.40,6.38,-0.06,0.38,3.7,15,35,20,0.1,16.1,122
2001,ARG,Argentina,58,2,6.8,8.11,"7.168,98",4.33,9.68,6.38,5.53,-0.18,0.79,0.8,17.32,35,20,0.1,12.4,116
2002,ARG,Argentina,78,3,6.32,7.88,"2.579,49",4.17,7.27,6.30,5.96,0.25,0.53,2.2,19.59,28,7.1,-0.78,17,110
2003,ARG,Argentina,84,3,6.25,8.04,"3.333,15",4.06,6.48,6.51,6.14,1.07,0.22,1.3,15.36,25,8.4,-0.36,27.4,106
2004,ARG,Argentina,78,3,6.39,7.99,"4.258,16",4.52,6.91,6.29,6.26,0.20,0.31,2.5,13.52,25,11.2,-0.61,24.7,103
2005,ARG,Argentina,98,3,6.22,7.52,"5.086,63",4.62,6.30,6.28,6.39,0.31,0.28,2.6,11.51,28,11,-0.04,23.9,100
2006,ARG,Argentina,106,3,6.15,7.29,"5.890,98",4.54,6.47,6.42,6.03,0.15,0.25,2.4,10.08,29,6.6,0,22,101
2007,ARG,Argentina,101,3,6.31,7.13,"7.210,60",4.53,7.31,6.52,6.07,-0.03,0.15,2.3,8.47,29,8.5,0.1,19.8,106
2008,ARG,Argentina,104,3,6.22,7.00,"8.977,51",4.58,6.99,6.54,5.97,-0.46,0.38,2.7,7.84,29,8.4,0.09,11,107
2009,ARG,Argentina,112,4,6.01,6.41,"8.184,39",4.61,7.07,6.18,5.80,1.13,0.28,1.2,8.65,29,3.3,-0.23,13.7,101
2010,ARG,Argentina,132,4,5.8,6.59,"10.385,96",4.49,6.65,5.89,5.39,0.56,0.23,2.7,7.71,29,4,-0.08,15.1,101
2011,ARG,Argentina,133,4,5.79,6.35,"12.848,74",4.43,6.96,5.52,5.70,-0.22,0.32,2,7.18,30,5.6,0.16,8.2,99
2012,ARG,Argentina,143,4,5.29,6.15,"13.082,66",4.36,6.61,3.38,5.93,0.24,0.33,2.8,7.22,35,4.3,0.1,6.3,101
2013,ARG,Argentina,150,4,5.11,5.97,"13.080,25",4.33,6.27,3.28,5.73,0.74,0.42,1.8,7.1,34,4.2,0.07,9.6,97
2014,ARG,Argentina,157,4,4.73,5.73,"12.334,80",4.38,4.83,3.14,5.59,0.41,0.42,1,7.27,34,5.9,-0.01,11.4,95
2015,ARG,Argentina,150,4,5.26,6.05,"13.789,06",4.51,6.60,3.38,5.77,0.33,0.38,2,7.524,32,4.8,0.01,9.4,93
2016,ARG,Argentina,148,4,5.62,6.05,"12.790,26",4.70,5.63,6.17,5.56,0.69,0.25,0.6,8.109,36,5.3,0.2,11.4,93
2017,ARG,Argentina,136,4,5.93,6.16,"14.613,04",4.74,6.49,6.31,5.95,0.83,0.21,1.8,8.35,39,5.4,0.17,16.9,96
2018,ARG,Argentina,136,4,5.89,6.38,"11.795,16",4.82,4.92,7.48,5.83,0.04,0.35,2.2,9.22,40,9.9,0.01,8.8,93
2019,ARG,Argentina,154,4,5.44,6.55,"9.963,67",4.80,3.88,5.98,5.99,0.10,0.61,1.5,9.84,45,7.6,-0.09,8.8,91
2020,ARG,Argentina,161,4,4.87,6.48,"8.496,43",4.80,4.52,3.09,5.49,0.20,0.60,1.2,11.46,42,,-0.08,,
2000,BRA,Brazil,97,4,5.77,6.66,"3.726,81",4.67,6.09,5.89,5.54,0.08,0.33,5,10.53,39,41.6,0.18,34.5,457
2001,BRA,Brazil,98,4,5.74,6.66,"3.142,24",4.58,6.25,6.12,5.12,-0.28,0.32,4.1,10.65,40,34.6,0.18,33.3,426
2002,BRA,Brazil,79,3,6.31,7.16,"2.824,72",5.32,7.40,6.67,5.03,-0.14,0.33,3.3,10.64,40,31.1,0.33,24.9,396
2003,BRA,Brazil,92,3,6.09,7.03,"3.056,65",5.28,6.97,6.54,4.64,1.00,0.22,1.8,11.17,39,30,0,42,367
2004,BRA,Brazil,87,3,6.24,6.98,"3.623,22",5.15,7.50,6.66,4.90,0.11,0.19,2.7,10.07,39,34.4,-0.28,49.4,357
2005,BRA,Brazil,92,3,6.44,7.26,"4.773,27",5.53,7.70,7.03,4.68,0.58,0.26,1.7,10.55,37,36,-0.26,53.2,342
2006,BRA,Brazil,94,3,6.4,7.04,"5.866,02",5.46,7.62,7.33,4.55,0.16,0.20,1.8,9.69,33,39.3,-0.29,64.1,347
2007,BRA,Brazil,93,3,6.42,7.06,"7.323,19",5.55,7.60,7.13,4.77,0.33,0.17,3.2,9.28,35,47.1,-0.36,98,395
2008,BRA,Brazil,92,3,6.5,7.31,"8.801,76",5.68,7.69,7.05,4.79,-0.34,0.32,3,8.27,35,96.3,-0.31,34.9,383
