Year,EFW_Index,GovSize,LegalSystem,SoundMoney,TradeFreedom,Regulation,Return,Risk
2020,4.87,6.48,4.8,4.52,3.09,5.49,0.20326876,0.601905329
2019,5.44,6.55,4.8,3.88,5.98,5.99,0.1040032294,0.6099682233
2018,5.89,6.38,4.82,4.92,7.48,5.83,0.03973483871,0.3524740199
2017,5.93,6.16,4.74,6.49,6.31,5.95,0.8328380829,0.2073748908
2016,5.62,6.05,4.7,5.63,6.17,5.56,0.6860566879,0.2526876694
2015,5.26,6.05,4.51,6.6,3.38,5.77,0.3316144924,0.3767168486
2014,4.73,5.73,4.38,4.83,3.14,5.59,0.4106917829,0.4151753964
2013,5.11,5.97,4.33,6.27,3.28,5.73,0.7382784404,0.4195494934
2012,5.29,6.15,4.36,6.61,3.38,5.93,0.2422708406,0.3270772261
2011,5.79,6.35,4.43,6.96,5.52,5.7,-0.2243058245,0.3161337907
2010,5.8,6.59,4.49,6.65,5.89,5.39,0.5632158563,0.2277199692
2009,6.01,6.41,4.61,7.07,6.18,5.8,1.134037194,0.2761043203
2008,6.22,7.0,4.58,6.99,6.54,5.97,-0.4634055432,0.3803561981
2007,6.31,7.13,4.53,7.31,6.52,6.07,-0.03060400469,0.14984704
2006,6.15,7.29,4.54,6.47,6.42,6.03,0.1542221589,0.2514986849
2005,6.22,7.52,4.62,6.3,6.28,6.39,0.3058545484,0.2837382973
2004,6.39,7.99,4.52,6.91,6.29,6.26,0.2042232869,0.3052210351
2003,6.25,8.04,4.06,6.48,6.51,6.14,1.074766043,0.2224123147
2002,6.32,7.88,4.17,7.27,6.3,5.96,0.2519352481,0.5321075157
2001,6.8,8.11,4.33,9.68,6.38,5.53,-0.1756756346,0.7868849521
2000,7.21,7.98,4.68,9.6,7.4,6.38,-0.05912276486,0.3787363271
