Year,EFW_Index,GovSize,LegalSystem,SoundMoney,TradeFreedom,Regulation,Return,Risk
2020,6.33,6.61,5.16,9.25,6.17,4.46,0.01974314572,0.3928038011
2019,6.6,6.83,5.11,9.26,6.99,4.81,0.1680493665,0.1188839058
2018,6.58,6.74,5.19,9.27,6.96,4.76,0.1469857383,0.2241798072
2017,6.65,6.76,5.37,9.27,6.96,4.88,0.3129996444,0.1554981377
2016,6.44,6.69,5.48,9.04,6.73,4.28,0.6005296243,0.2641660818
2015,6.25,6.8,5.5,7.82,6.61,4.5,-0.1386117507,0.1952341439
2014,6.43,6.9,5.58,7.94,6.75,4.97,-0.01534457062,0.2135106777
2013,6.52,6.99,5.65,7.94,6.9,5.13,-0.2028413179,0.1519951302
2012,6.66,7.33,5.91,7.92,6.94,5.18,-0.05249556063,0.1876470196
2011,6.66,7.48,5.97,7.78,6.96,5.12,-0.05261734885,0.1948314925
2010,6.68,7.47,5.85,7.79,7.04,5.25,0.01793523134,0.1720676556
2009,6.51,7.26,5.78,7.77,6.97,4.78,0.6641306837,0.2061005175
2008,6.5,7.31,5.68,7.69,7.05,4.79,-0.339367961,0.324739719
2007,6.42,7.06,5.55,7.6,7.13,4.77,0.332601586,0.166148531
2006,6.4,7.04,5.46,7.62,7.33,4.55,0.1630669828,0.1981619412
2005,6.44,7.26,5.53,7.7,7.03,4.68,0.5762391688,0.2640749669
2004,6.24,6.98,5.15,7.5,6.66,4.9,0.1144112398,0.1884117429
2003,6.09,7.03,5.28,6.97,6.54,4.64,0.997166621,0.2236815724
2002,6.31,7.16,5.32,7.4,6.67,5.03,-0.1399261064,0.3349657169
2001,5.74,6.66,4.58,6.25,6.12,5.12,-0.2802014372,0.3200405201
2000,5.77,6.66,4.67,6.09,5.89,5.54,0.07841103246,0.330469782
