Year,Ownership of banks,Private sector credit,Interest rate controls/negative real interest rates),Credit market regulations,Hiring regulations and minimum wage,Hiring and firing regulations,Centralized collective bargaining,Hours Regulations,Mandated cost of worker dismissal,Conscription,Labor market regulations,Administrative requirements,Regulatory Burden,Starting a business,Impartial Public Administration,Licensing restrictions,Tax compliance,Business regulations,Regulation,Freedom to trade Internationally,Revenue from trade taxes (% of trade sector),Mean tariff rate,Standard deviation of tariff rates,Tariffs,Non-tariff trade barriers,Compliance costs of importing and exporting, Regulatory trade barriers,Black market exchange rates,Financial Openness,Capital controls,Freedom of foreigners to visit,Controls of the movement of capital and people,Money growth,Standard deviation of inflation, Inflation: Most recent year,Freedom to own foreign currency bank accounts,Sound Money, Judicial independence,Impartial courts,Protection of property rights,Military interference in rule of law and politics,Integrity of the legal system,Legal enforcement of contracts,Regulatory restrictions on the sale of real property,Reliability of police,Gender Legal Rights Adjustment,Legal System & Property Rights,Government consumption,Transfers and subsidies,Government investment,Top marginal income tax rate,Top marginal income and payroll tax rate,Top marginal tax rate,State ownership of assets,Size of Government,Return,Risk
2000,5.0,8.56,5.0,6.23,3.46,5.25,5.52,6.01,5.74,3.0,4.83,7.7,7.38,6.54,6.21,,0.0,5.57,5.54,5.89,7.21,7.12,7.2,7.18,4.02,6.33,5.18,10.0,1.66,0.77,,1.21,7.88,7.88,8.59,0.0,6.09,6.41,5.6,5.08,6.67,4.5,4.33,8.09,3.11,0.71,4.67,4.44,5.96,10.0,8.0,3.0,5.5,7.39,6.66,0.07841103246,0.330469782
2001,5.0,8.35,5.0,6.15,3.46,5.51,5.29,6.01,5.74,3.0,4.84,2.82,6.25,6.54,6.21,,0.0,4.37,5.12,6.12,7.21,7.42,7.12,7.25,5.67,6.33,6.0,10.0,1.66,0.77,,1.21,7.15,9.22,8.63,0.0,6.25,6.33,5.05,4.83,6.67,4.5,4.33,8.09,3.11,0.71,4.58,4.44,5.96,10.0,8.0,3.0,5.5,7.39,6.66,-0.2802014372,0.3200405201
2002,5.0,9.2,5.0,6.4,3.3,5.0,5.33,4.0,5.74,3.0,4.39,3.0,5.75,6.54,6.21,,0.0,4.3,5.03,6.67,7.21,7.02,7.12,7.12,5.67,6.33,6.0,9.16,4.16,4.62,,4.39,7.34,8.95,8.31,5.0,7.4,6.16,5.14,4.67,6.67,4.35,4.33,8.09,3.11,1.0,5.32,4.55,8.34,10.0,8.0,3.0,5.5,7.39,7.16,-0.1399261064,0.3349657169
2003,5.0,7.22,5.0,5.76,3.3,4.33,5.17,4.0,5.74,3.0,4.26,2.0,4.75,6.54,6.21,,0.0,3.9,4.64,6.54,7.21,7.02,7.12,7.12,4.67,6.33,5.5,9.16,4.16,4.62,,4.39,7.24,8.58,7.06,5.0,6.97,6.27,5.03,4.5,6.67,4.23,4.33,8.09,3.11,1.0,5.28,4.13,8.12,10.0,8.0,3.0,5.5,7.39,7.03,0.997166621,0.2236815724
2004,5.0,8.98,5.0,6.33,3.3,3.48,5.19,4.0,5.74,3.0,4.12,1.75,5.4,6.56,6.21,5.65,0.0,4.26,4.9,6.66,7.21,7.38,7.12,7.24,4.8,7.16,5.98,9.04,4.16,4.62,,4.39,7.44,8.88,8.68,5.0,7.5,5.65,4.66,3.68,6.67,4.72,4.41,8.29,3.11,1.0,5.15,4.29,8.05,10.0,8.0,3.0,5.5,7.06,6.98,0.1144112398,0.1884117429
2005,5.0,7.94,5.0,5.98,2.2,2.85,5.25,4.0,5.74,3.0,3.84,1.46,5.26,6.56,6.37,5.65,0.0,4.22,4.68,7.03,7.21,7.54,6.85,7.2,5.12,7.16,6.14,9.04,4.77,6.15,6.3,5.74,8.14,9.02,8.63,5.0,7.7,5.68,4.92,6.02,6.67,5.24,4.41,8.19,3.11,1.0,5.53,4.43,8.98,10.0,8.0,3.0,5.5,7.39,7.26,0.5762391688,0.2640749669
2006,5.0,8.33,5.0,6.11,2.2,2.76,5.4,4.0,5.74,3.0,3.85,1.42,2.85,6.56,6.37,4.89,0.0,3.68,4.55,7.33,8.91,7.54,6.85,7.77,5.07,7.28,6.18,9.81,5.37,5.0,6.31,5.56,7.72,8.6,9.16,5.0,7.62,5.86,4.85,5.77,6.67,5.24,4.41,8.23,2.62,1.0,5.46,4.46,7.84,10.0,8.0,3.0,5.5,7.39,7.04,0.1630669828,0.1981619412
2007,5.0,8.96,6.0,6.65,2.2,3.32,5.58,4.0,5.74,3.0,3.97,1.45,2.85,6.58,6.37,4.92,0.0,3.69,4.77,7.13,8.78,7.56,6.93,7.76,5.12,7.8,6.46,9.13,5.37,3.85,6.31,5.17,7.69,8.45,9.27,5.0,7.6,6.23,4.93,5.97,6.67,4.83,4.41,8.32,3.04,1.0,5.55,4.59,7.81,10.0,8.0,3.0,5.5,7.39,7.06,0.332601586,0.166148531
2008,5.0,9.31,6.0,6.77,2.2,3.16,5.39,4.0,5.74,3.0,3.91,1.41,2.85,6.59,6.37,4.91,0.0,3.69,4.79,7.05,8.55,7.28,6.08,7.3,4.76,8.16,6.46,9.27,5.37,3.85,6.31,5.17,7.61,9.27,8.87,5.0,7.69,6.1,5.08,5.63,6.67,4.83,4.41,8.32,4.43,1.0,5.68,4.71,7.95,10.0,8.0,5.0,6.5,7.39,7.31,-0.339367961,0.324739719
2009,5.0,7.61,6.0,6.2,2.23,3.0,5.44,6.0,6.91,3.0,4.43,1.54,2.85,6.59,6.37,4.92,0.0,3.71,4.78,6.97,8.42,7.28,6.08,7.26,4.77,8.01,6.39,9.3,5.37,3.08,6.31,4.92,7.61,9.44,9.02,5.0,7.77,6.06,5.3,5.45,6.67,4.83,4.41,8.32,5.18,1.0,5.78,4.68,7.75,10.0,8.0,5.0,6.5,7.39,7.26,0.6641306837,0.2061005175
