Year,EFW_Index,GovSize,LegalSystem,SoundMoney,TradeFreedom,Regulation,Return,Risk
2020,7.56,7.68,6.68,9.38,7.37,6.67,-0.06198737549,0.2961620771
2019,7.86,7.82,6.62,9.69,8.16,7.03,-0.1542009135,0.1241533784
2018,7.95,8.05,6.68,9.73,8.17,7.14,-0.07681311888,0.1159272207
2017,7.95,8.06,6.7,9.66,8.25,7.1,0.3943040838,0.1819423749
2016,7.92,7.95,6.75,9.45,8.22,7.22,0.133186901,0.09546540242
2015,7.92,8.01,6.78,9.39,8.18,7.23,-0.03409413746,0.09333258161
2014,7.91,8.04,6.85,8.89,8.43,7.32,0.115519813,0.1262165146
2013,7.88,8.1,6.83,9.05,7.97,7.44,-0.2444842281,0.1354987751
2012,7.91,8.05,6.86,9.14,7.98,7.5,0.06845039019,0.1248609987
2011,8.02,8.04,6.85,9.24,8.16,7.79,-0.08823321714,0.1864310529
2010,8.01,7.97,6.88,9.31,8.28,7.61,0.2268624506,0.1297235384
2009,7.94,7.87,6.95,9.33,8.37,7.15,0.4940261859,0.191607715
2008,7.98,7.95,6.95,8.85,8.81,7.34,-0.08567104442,0.1593607527
2007,8.04,8.0,6.89,9.11,8.8,7.42,-0.03693597856,0.1911201772
2006,7.99,7.65,6.77,9.33,8.72,7.46,0.3666908981,0.1112447485
2005,7.98,7.59,6.62,9.57,8.59,7.52,0.1704974915,0.1294778023
2004,7.83,7.57,6.27,9.16,8.77,7.39,0.2846414832,0.1446423231
2003,7.81,7.47,6.36,8.93,8.89,7.39,0.4060619367,0.1769954035
2002,7.68,7.32,6.37,8.77,8.77,7.15,-0.1310467436,0.1226146958
2001,7.56,7.33,6.31,8.66,8.68,6.82,0.01285058016,0.1986259772
2000,7.45,7.34,6.23,9.11,7.18,7.39,-0.01124698199,0.1209607521
