Year,EFW_Index,GovSize,LegalSystem,SoundMoney,TradeFreedom,Regulation,Return,Risk
2020,6.27,4.97,5.12,8.44,6.56,6.24,15.2125602,11.89275606
2019,6.33,5.02,5.15,8.41,6.71,6.33,0.1516522085,0.1655278569
2018,6.33,5.03,5.17,8.42,6.59,6.42,-0.2574846265,0.1469759786
2017,6.26,5.0,5.17,8.43,6.52,6.16,0.1018202242,0.07409150543
2016,6.25,5.04,5.2,8.43,6.36,6.23,0.1539910516,0.2605125589
2015,6.23,5.14,5.25,8.25,6.29,6.22,-0.1472615195,0.3860951149
2014,6.21,5.09,5.13,8.2,6.38,6.24,0.5790614669,0.2174316134
2013,6.16,5.01,5.14,8.07,6.33,6.27,-0.1477051412,0.1870264822
2012,6.11,4.98,5.22,7.92,6.3,6.14,0.04048312084,0.2070611919
2011,6.04,4.9,5.28,7.78,6.22,6.04,-0.1784803237,0.1429868495
2010,6.02,4.58,5.39,7.89,6.29,5.95,-0.06643643396,0.2232728388
2009,6.04,4.47,5.45,7.99,6.31,5.98,0.501661019,0.3303926061
2008,5.98,4.57,5.5,7.98,6.3,5.55,-0.5458639114,0.3852820958
2007,6.0,4.55,5.45,8.03,6.29,5.66,0.5731752023,0.399681914
2006,5.88,4.41,5.18,8.12,6.24,5.43,1.214811632,0.2663171303
2005,5.81,4.47,5.02,8.17,6.22,5.2,0.05556447821,0.2110846239
2004,5.63,4.38,4.87,8.08,6.23,4.61,-0.2507693045,0.1804716557
2003,5.79,4.53,4.96,8.29,6.22,4.96,0.0606168538,0.1572723434
2002,5.75,4.51,4.83,8.34,6.24,4.81,0.005463627414,0.2455855045
2001,5.58,3.6,4.83,8.37,6.44,4.65,-0.277855956,0.1931539172
2000,5.51,3.59,4.61,8.24,6.12,4.98,0.3456743088,0.1385954903
