Year,EFW_Index,GovSize,LegalSystem,SoundMoney,TradeFreedom,Regulation,Return,Risk
2020,6.72,7.52,5.57,8.14,5.9,6.49,0.1398165874,0.3209013257
2019,6.76,7.58,5.52,8.15,5.86,6.67,0.1044368223,0.1070834458
2018,6.72,7.38,5.51,8.32,5.84,6.57,-0.01784143566,0.145196334
2017,6.75,7.56,5.41,8.37,5.8,6.62,0.2880870896,0.09131493548
2016,6.58,7.62,5.4,8.14,5.2,6.53,0.1319155687,0.1604177934
2015,6.51,7.51,5.37,8.01,5.18,6.5,-0.1413740649,0.1200596554
2014,6.19,7.68,5.13,6.71,5.13,6.29,0.4465719681,0.121820471
2013,6.37,7.8,5.18,6.53,5.78,6.55,0.009072455363,0.1443778927
2012,6.47,7.86,5.27,6.59,5.83,6.77,0.1606962543,0.1665335427
2011,6.47,7.71,5.31,6.48,5.9,6.93,-0.05569480012,0.2374389334
2010,6.32,7.47,5.25,6.25,5.88,6.76,0.1277844348,0.1836892569
2009,6.3,7.32,5.35,6.35,5.87,6.62,0.698222485,0.3308017648
2008,6.33,7.43,5.48,6.52,5.85,6.37,-0.4404227778,0.3543158633
2007,6.39,7.63,5.48,6.67,5.71,6.47,0.2583461925,0.2859908601
2006,6.37,7.45,5.5,6.76,5.74,6.39,0.3604011862,0.1938134004
2005,6.46,7.53,5.6,6.9,5.59,6.67,0.4585439347,0.2115204162
2004,6.27,7.08,5.36,6.93,5.38,6.61,0.1369526178,0.2292952484
2003,6.32,7.48,5.09,6.94,5.7,6.38,0.7370542784,0.2613723664
2002,6.22,7.43,5.06,6.75,5.6,6.27,-0.03119769388,0.1871206323
2001,6.14,7.66,4.9,6.76,5.57,5.82,-0.2160093315,0.2473691862
2000,6.2,7.46,4.97,6.72,5.44,6.39,-0.1128573276,0.2446570745
