Year,EFW_Index,GovSize,LegalSystem,SoundMoney,TradeFreedom,Regulation,Return,Risk
2020,7.35,6.26,6.12,9.64,7.61,7.14,-0.00692160955,0.2446959342
2019,7.63,6.43,6.08,9.76,8.43,7.42,0.1572998894,0.08332080184
2018,7.64,6.43,6.08,9.81,8.46,7.44,0.003964306238,0.144059693
2017,7.66,6.47,6.16,9.74,8.49,7.43,0.132441913,0.06247280511
2016,7.64,6.53,6.03,9.67,8.46,7.5,-0.002607907256,0.08965530883
2015,7.61,6.5,5.98,9.69,8.39,7.49,-0.01850816385,0.1480620801
2014,7.6,6.56,5.7,9.62,8.56,7.56,0.05753642314,0.07377707345
2013,7.51,6.59,5.67,9.63,8.24,7.4,0.1470403148,0.09103599026
2012,7.49,6.68,5.78,9.64,8.13,7.24,0.03257369893,0.1238033441
2011,7.49,6.62,5.92,9.46,8.18,7.27,-0.15788161,0.1244150274
2010,7.51,6.46,5.86,9.49,8.47,7.27,0.1215828306,0.150083193
2009,7.3,6.38,5.63,9.52,8.6,6.38,0.7888562126,0.1322238589
2008,7.33,6.6,5.5,9.57,8.5,6.47,-0.4021047083,0.2811895249
2007,7.4,6.33,5.7,9.73,8.61,6.63,0.04717922122,0.1996111992
2006,7.36,6.19,5.86,9.57,8.54,6.65,0.1348279161,0.1364507226
2005,7.38,6.2,5.94,9.56,8.61,6.57,0.2825376354,0.1027011391
2004,7.32,5.88,5.75,9.62,8.95,6.41,0.1877650004,0.1281364003
2003,7.31,6.03,5.71,9.54,9.09,6.18,0.7387390805,0.1978620119
2002,7.23,5.75,5.96,9.19,9.09,6.18,-0.2695779806,0.186454286
2001,6.92,5.2,6.13,9.28,8.51,5.5,-0.02051170305,0.2814143073
2000,6.76,5.25,6.18,7.97,8.43,5.99,-0.09237194193,0.3053854308
