Year,EFW_Index,GovSizze,LegalSystem,SoundMoney,TradeFreedom,Regulation,Return,Risk
2020,6.48,6.52,4.84,8.27,6.92,5.88,-0.987632208,0.9930374622
2019,6.49,6.53,4.85,8.26,6.98,5.82,0.1447611222,0.2389441181
2018,6.66,7.03,4.77,8.35,7.17,5.98,-0.1292959869,0.2273256027
2017,6.7,7.26,4.72,8.84,7.16,5.51,0.3851071669,0.1740782545
2016,6.97,7.23,4.94,9.02,7.1,6.56,0.1743931608,0.1801617108
2015,6.99,7.31,5.0,9.08,7.12,6.44,-0.1738665103,0.1388207465
2014,6.98,7.25,4.9,9.03,7.17,6.56,0.4378982576,0.19776659
2013,7.0,7.25,5.09,9.03,7.1,6.5,-0.2148330651,0.2411189725
2012,7.1,7.46,5.3,8.95,7.15,6.63,0.3780253191,0.2039577037
2011,7.1,7.53,5.32,8.96,7.13,6.58,-0.09650733241,0.2521828054
2010,6.97,7.28,5.22,8.8,7.24,6.32,0.1578665148,0.2249108347
2009,6.9,7.1,5.39,8.78,7.3,5.95,1.107262969,0.2966128287
2008,6.97,7.6,5.4,8.46,7.19,6.2,-0.392602876,0.4180103833
2007,6.52,7.82,5.39,6.54,6.97,5.85,0.03678737968,0.2920298255
2006,6.39,7.85,5.82,5.57,7.03,5.68,-0.07642032814,0.2463696807
2005,6.35,8.19,5.97,4.94,6.97,5.71,0.6315238189,0.2683635703
2004,6.13,8.09,5.73,5.05,6.59,5.18,0.5835172431,0.2376234395
2003,6.04,7.79,5.48,4.88,6.67,5.37,0.5644761404,0.4426985059
2002,5.75,7.36,5.44,4.06,6.59,5.31,-0.1675407165,0.4651444019
2001,5.44,7.02,5.0,3.59,6.53,5.07,0.2402598282,0.7170520458
2000,5.61,7.22,5.05,3.57,6.62,5.6,-0.3607478547,0.5318688293
